FID,VALID,MAG,WFO,TYPECODE,TYPETEXT,CITY,COUNTY,SOURCE,REMARK,POINT_X,POINT_Y,lon,lat,long
121,201104270130,0.000000000000000,FWD,T,TORNADO,Lacy-Lakeview,Mclennan,law enforcement,on ground,-97.099999999999994,31.620000000000001,-97.0999985,31.6200008,-97.0999985
122,201104270154,0.000000000000000,SHV,T,TORNADO,Dubberly,Webster,nws storm survey,ef-1 tornado path length of 6 miles...width 150 yards. numerous trees were snapped and uprooted south of sibley east of hwy 371. this tornado co,-93.239999999999995,32.539999999999999,-93.2399979,32.5400009,-93.2399979
123,201104270155,0.000000000000000,FWD,T,TORNADO,Mart,Mclennan,trained spotter,small rope tornado just north of mart at mclennan/limestone county line,-96.829999999999998,31.530000000000001,-96.8300018,31.5300007,-96.8300018
124,201104270200,0.000000000000000,PAH,T,TORNADO,Mortons Gap,Hopkins,trained spotter,spotter confirms tornado on the ground at the mortons gap exit on the pennyrile pkwy at a pilot petrol station,-87.469999999999999,37.240000000000002,-87.4700012,37.2400017,-87.4700012
125,201104270210,0.000000000000000,MEG,T,TORNADO,4 W Rondo,Lee,public, ,-90.890000000000001,34.659999999999997,-90.8899994,34.6599998,-90.8899994
126,201104270217,0.000000000000000,MEG,T,TORNADO,Smithville,Lawrence,law enforcement,homes damaged,-91.299999999999997,36.079999999999998,-91.3000031,36.0800018,-91.3000031
127,201104270230,0.000000000000000,MEG,T,TORNADO,6 Nw Lula,Coahoma,law enforcement, ,-90.549999999999997,34.520000000000003,-90.5500031,34.5200005,-90.5500031
128,201104270231,0.000000000000000,SHV,T,TORNADO,6 Sse Grambling,Jackson,nws storm survey,an ef0 tornado approximately 6 miles in length blew down trees along hwy. 818 between clay and woodville in far northern jackson parish. the sto,-92.689999999999998,32.439999999999998,-92.6900024,32.4399986,-92.6900024
129,201104270245,0.000000000000000,SHV,T,TORNADO,4 Ssw Junction City,Claiborne,nws storm survey,an ef1 tornado occurred in union parish louisiana and union county arkansas. the tornado touched down 4 miles ssw of junction city louisiana and,-92.750000000000000,32.969999999999999,-92.7500000,32.9700012,-92.7500000
130,201104270250,0.000000000000000,SHV,T,TORNADO,5 N Eros,Jackson,nws storm survey,an ef0 tornado 5 miles in length took out trees and powerlines west of the intersection of hwy. 556 and 144. the storm continued along 144 into,-92.430000000000007,32.469999999999999,-92.4300003,32.4700012,-92.4300003
131,201104270302,0.000000000000000,FWD,T,TORNADO,3 Sse Thornton,Limestone,trained spotter,spotter observed tornado becoming rain-wrapped...3 sse of thornton,-96.560000000000002,31.359999999999999,-96.5599976,31.3600006,-96.5599976
132,201104270333,0.000000000000000,SHV,T,TORNADO,1 Nw Swartz,Ouachita,nws storm survey,an ef0 tornado nearly 2 miles in length first touched down just southwest of the hwy. 594/139 intersection taking down several trees. the storm,-91.989999999999995,32.579999999999998,-91.9899979,32.5800018,-91.9899979
133,201104270344,0.000000000000000,JAN,T,TORNADO,4 Wsw Bastrop,Morehouse,nws storm survey,a weak ef0 tornado ocurred to the west of bastrop and mostly downed limbs and snapped/uprooted a few trees. some minor roof damage also occurred,-91.969999999999999,32.759999999999998,-91.9700012,32.7599983,-91.9700012
134,201104270349,0.000000000000000,JAN,T,TORNADO,7 Wnw Beekman,Morehouse,law enforcement,trees and powerlines down...house damaged or destroyed with person reportedly trapped...on sulphur springs road...likely tornado based on radar,-91.989999999999995,32.960000000000001,-91.9899979,32.9599991,-91.9899979
135,201104270355,0.000000000000000,SHV,T,TORNADO,Hall Summit,Red River,nws storm survey,ef-1 tornado path length 3.5 miles...width 125 miles. a couple barns were destroyed west of town north of state route 514. the tornado continued,-93.299999999999997,32.180000000000000,-93.3000031,32.1800003,-93.3000031
136,201104270503,2.000000000000000,JAN,T,TORNADO,5 S Pioneer,West Carroll,nws storm survey,"this tornado snapped eight power poles, damaged the roofs of several sheds and barns, and completely destroyed two barns. two grain storage bins",-91.439999999999998,32.670000000000002,-91.4400024,32.6699982,-91.4400024
137,201104270527,0.000000000000000,SHV,T,TORNADO,Zwolle,Sabine,nws storm survey,an ef2 tornado touched down along cr 3229 where it crossed highway 191. numerous trees were downed and a communications tower was bent to the gr,-93.640000000000001,31.640000000000001,-93.6399994,31.6399994,-93.6399994
138,201104270535,0.000000000000000,JAN,T,TORNADO,2 Sw Cary,Sharkey,nws storm survey,a couple trees were down along with many large limbs. some shingles were off houses and a large section of tin was pealed off a tractor shed. ma,-90.950000000000003,32.780000000000001,-90.9499969,32.7799988,-90.9499969
139,201104270542,0.000000000000000,SHV,T,TORNADO,5 Ne Many,Sabine,nws storm survey,an ef1 tornado touched down northeast of many along highway 6 and continued northeast to just southwest of robeline. numerous trees were snapped,-93.409999999999997,31.620000000000001,-93.4100037,31.6200008,-93.4100037
140,201104270543,2.000000000000000,JAN,T,TORNADO,3 W Sunflower,Sunflower,emergency mngr,*** 3 inj *** numerous trees were blown down along with power lines and 15 power poles. one home had a large portion of the roof off and several,-90.590000000000003,33.549999999999997,-90.5899963,33.5499992,-90.5899963
141,201104270549,0.000000000000000,JAN,T,TORNADO,2 Sw Blaine,Sunflower,law enforcement,*** 3 inj *** numerous trees and power lines down...structures damaged. 3 inj reported...2 sw of blaine and 1 ne.,-90.549999999999997,33.590000000000003,-90.5500031,33.5900002,-90.5500031
142,201104270552,0.000000000000000,JAN,T,TORNADO,Blaine,Sunflower,emergency mngr,store destroyed in blaine...probable tornado based on radar,-90.519999999999996,33.609999999999999,-90.5199966,33.6100006,-90.5199966
143,201104270555,0.000000000000000,JAN,T,TORNADO,2 S Doddsville,Sunflower,emergency mngr,mobile home rolled over. possible tornado based on radar.,-90.519999999999996,33.630000000000003,-90.5199966,33.6300011,-90.5199966
144,201104270556,0.000000000000000,SHV,T,TORNADO,Flora,Natchitoches,nws storm survey,an ef2 tornado touched down near flora along highway 120 and moved northeast paralleling highway 478 just south of natchitoches. numerous trees/,-93.099999999999994,31.620000000000001,-93.0999985,31.6200008,-93.0999985
145,201104270557,0.000000000000000,JAN,T,TORNADO,3 E Doddsville,Sunflower,emergency mngr,trees...powerlines and power poles down along hwy 443 east of doddsvile. possible tornado basedon radar.,-90.469999999999999,33.659999999999997,-90.4700012,33.6599998,-90.4700012
146,201104270612,1.000000000000000,JAN,T,TORNADO,2 N Yazoo City,Yazoo,nws storm survey,this tornado caused a path of extensive downed trees along a path from us hwy 49w n of yazoo city along the west side of hwy 49e to just nw of t,-90.409999999999997,32.890000000000001,-90.4100037,32.8899994,-90.4100037
147,201104270624,1.000000000000000,JAN,T,TORNADO,Sidon,Leflore,nws storm survey,a 3 mile path was found from sidon to 3 ne of sidon. a couple dozen trees were snapped and uprooted. two were down on houses...one on a mobile h,-90.209999999999994,33.409999999999997,-90.2099991,33.4099998,-90.2099991
148,201104270636,0.000000000000000,SHV,T,TORNADO,Tullos,La Salle,nws storm survey,an ef0 tornado touched down on the southwest wide of tullos where an old building was destroyed when a wall collapsed and a roof caved in. sever,-92.329999999999998,31.820000000000000,-92.3300018,31.8199997,-92.3300018
149,201104270640,2.000000000000000,JAN,T,TORNADO,5 Ese Lexington,Holmes,nws storm survey,started near fowler rd and continued for 9 miles to just sw of west. along hwy 12...numerous trees were snapped along with several power poles.,-89.969999999999999,33.090000000000003,-89.9700012,33.0900002,-89.9700012
150,201104270642,0.000000000000000,JAN,T,TORNADO,Lexington,Holmes,law enforcement,structural damage reported in the city of lexington...including at the sheriff office. probable tornado based on radar.,-90.049999999999997,33.119999999999997,-90.0500031,33.1199989,-90.0500031
151,201104270649,2.000000000000000,JAN,T,TORNADO,2 Sw Sallis,Attala,nws storm survey,started near cr 4106 and moved nne into montgomery co. thousands of trees were snapped along the path along with many power lines and power pole,-89.790000000000006,33.000000000000000,-89.7900009,33.0000000,-89.7900009
152,201104270651,0.000000000000000,JAN,T,TORNADO,2 N Durant,Holmes,nws storm survey,this tornado started near a farm on huckleberry rd...the east facing side of a shed was peeled off along with some of the metal roof. this debri,-89.859999999999999,33.109999999999999,-89.8600006,33.1100006,-89.8600006
153,201104270659,1.000000000000000,JAN,T,TORNADO,2 Nw West,Holmes,nws storm survey,tornado rated ef1 with maximum winds of 95 mph...path length 9.5 miles and path width 100 yds...moving from 2.5 miles northwest of west to 2.5 m,-89.810000000000002,33.219999999999999,-89.8099976,33.2200012,-89.8099976
154,201104270700,0.000000000000000,JAN,T,TORNADO,Ssw Hesterville,Attala,emergency mngr,apparent path of damage from hwy 19 to near the hesterville community. trees down across hwy 19...extensive tree damage and trailers rolled on a,-89.650000000000006,33.159999999999997,-89.6500015,33.1599998,-89.6500015
155,201104270706,1.000000000000000,JAN,T,TORNADO,4 S Gore Springs,Grenada,nws storm survey,tornado rated ef1 with maximum winds of 105 mph...path lenth 1.5 miles and path width 150 yds...moving from 3.5 miles south of gore springs to 2,-89.620000000000005,33.700000000000003,-89.6200027,33.7000008,-89.6200027
156,201104270717,2.000000000000000,JAN,T,TORNADO,2 W Poplar Creek,Montgomery,nws storm survey,the tornado touched down just west of the poplar creek community and headed off to the northeast. thousands of trees were snapped off and uproot,-89.590000000000003,33.350000000000001,-89.5899963,33.3499985,-89.5899963
157,201104270718,1.000000000000000,JAN,T,TORNADO,2 Nnw Zama,Attala,nws storm survey,this tornado touched down in a field and moved ne where it destroyed an old barn...uprooting a few trees and snapping large limbs off other tree,-89.390000000000001,33.000000000000000,-89.3899994,33.0000000,-89.3899994
158,201104270725,0.000000000000000,JAN,T,TORNADO,4 Nw Zama,Attala,emergency mngr,emergency manager reports extensive damage along highway 19 in the southeast part of the county. numerous trees were blown down in a convergent,-89.430000000000007,33.020000000000003,-89.4300003,33.0200005,-89.4300003
159,201104270725,2.000000000000000,JAN,T,TORNADO,9 Ese Kilmichael,Choctaw,nws storm survey,*** 1 fatal *** this tornado touched down 9 miles east southeast of kilmichael were it began uprooting and snapping off thousands of trees. many,-89.420000000000002,33.390000000000001,-89.4199982,33.3899994,-89.4199982
160,201104270729,1.000000000000000,JAN,T,TORNADO,11 Wsw Louisville,Winston,nws storm survey,this tornado remained over rural areas and uprooted/snapped many trees along the 4 mile path. one tree did fall on a house and the roof was blow,-89.230000000000004,33.060000000000002,-89.2300034,33.0600014,-89.2300034
161,201104270729,3.000000000000000,JAN,T,TORNADO,9 Sw Eupora,Choctaw,nws storm survey,"*** 1 fatal, 20 inj *** tornado rated ef3 with maximum wind speed of 140 mph...path length of 40 miles and path width of 1 mile moving from 9 mi",-89.390000000000001,33.450000000000003,-89.3899994,33.4500008,-89.3899994
162,201104270730,4.000000000000000,JAN,T,TORNADO,1 N Philadelphia,Neshoba,nws storm survey,"*** 3 fatal, 8 inj *** tornado rated ef4 with maximum winds of 180 mph...path length of 29 miles and path width of one half mile..moving from 1",-89.109999999999999,32.789999999999999,-89.1100006,32.7900009,-89.1100006
163,201104270735,0.000000000000000,JAN,T,TORNADO,5 Ssw Eupora,Choctaw,emergency mngr,*** 7 inj *** extensive damage reported in the area of choctaw county near the border with webster county. many trees down across roads and on t,-89.310000000000002,33.479999999999997,-89.3099976,33.4799995,-89.3099976
164,201104270735,0.000000000000000,JAN,T,TORNADO,Eupora,Webster,emergency mngr,business destroyed...homes damaged...numerous trees and powerlines down...probable tornado based on radar,-89.280000000000001,33.539999999999999,-89.2799988,33.5400009,-89.2799988
165,201104270737,2.000000000000000,JAN,T,TORNADO,2 S Eupora,Webster,nws storm survey,tornado rated ef2 with maximum winds of 125 mph...path length of 14.5 miles and path width of 0.75 mile...moving from 2.5 miles south of eupora,-89.280000000000001,33.509999999999998,-89.2799988,33.5099983,-89.2799988
166,201104270744,0.000000000000000,JAN,T,TORNADO,Mathiston,Webster,emergency mngr,"*** 2 fatal, 15 inj *** update...emergency manager confirms two fatalities and estimates 15 injuries with this storm in webster county. extensiv",-89.129999999999995,33.539999999999999,-89.1299973,33.5400009,-89.1299973
167,201104270747,1.000000000000000,JAN,T,TORNADO,3 Ne Louisville,Winston,nws storm survey,this tornado snapped/uprooted numerous trees along its path. one tree was on a house which caused significant roof damage. at least two outbuild,-89.019999999999996,33.149999999999999,-89.0199966,33.1500015,-89.0199966
168,201104270748,0.000000000000000,JAN,T,TORNADO,Cumberland,Webster,emergency mngr,numerous trees and power lines down...rd signs down.,-89.079999999999998,33.619999999999997,-89.0800018,33.6199989,-89.0800018
169,201104270755,0.000000000000000,JAN,T,TORNADO,3 Sw Montpelier,Clay,emergency mngr,structural damage reported on colony road. extensive tree damage...emergency vehicles having to cut their way into area.,-88.980000000000004,33.689999999999998,-88.9800034,33.6899986,-88.9800034
170,201104270755,0.000000000000000,JAN,T,TORNADO,Montpelier,Clay,emergency mngr,"numerous trees down, several homes with damaged roofs, numerous powerlines down and one person trapped in a vehicle.",-88.950000000000003,33.719999999999999,-88.9499969,33.7200012,-88.9499969
171,201104270758,0.000000000000000,JAN,T,TORNADO,2 N Montpelier,Clay,emergency mngr,trees down and structural damage in the una community,-88.950000000000003,33.750000000000000,-88.9499969,33.7500000,-88.9499969
172,201104270805,1.000000000000000,MEG,T,TORNADO,1 S Trebloc,Chickasaw,nws storm survey,"minor home damage...barn damaged and trees uprooted near highways 8 and 47. end point 33.8553, -88.8256.",-88.849999999999994,33.810000000000002,-88.8499985,33.8100014,-88.8499985
173,201104270812,0.000000000000000,MEG,T,TORNADO,3 Sw Hickory Flat,Union,emergency mngr,*** 1 inj *** tornado on ground. highway 349 and county road 18. home damaged and one injury.,-89.219999999999999,34.579999999999998,-89.2200012,34.5800018,-89.2200012
174,201104270818,1.000000000000000,JAN,T,TORNADO,1 Nw Brooksville,Noxubee,nws storm survey,numerous trees were downed along the 6.25 mi path. a grain bin was knocked over and some minor roof damage occurred to a couple farm buildings.,-88.590000000000003,33.240000000000002,-88.5899963,33.2400017,-88.5899963
175,201104270830,0.000000000000000,MEG,T,TORNADO,Ripley,Tippah,public,trees and power lines down in cotton plant south of ripley,-88.939999999999998,34.729999999999997,-88.9400024,34.7299995,-88.9400024
176,201104270848,2.000000000000000,MEG,T,TORNADO,5 Wsw Belmont,Itawamba,nws storm survey,number of homes...businesses...and apartments damaged. a large metal storage building was severely damaged. ef-2 tornado with estimated winds of,-88.280000000000001,34.469999999999999,-88.2799988,34.4700012,-88.2799988
177,201104270903,2.000000000000000,JAN,T,TORNADO,Nnw Scooba,Kemper,nws storm survey,this tornado touched down in the wahalak community near hwy 45 in northern kemper co and tracked into noxubee county and tracked across the sout,-88.480000000000004,32.829999999999998,-88.4800034,32.8300018,-88.4800034
178,201104270920,0.000000000000000,HUN,T,TORNADO,4 Wsw Oakland,Lauderdale,emergency mngr,*** 1 inj *** an ema employee witnessed a tornado at the intersection of cr 189 and cr221. the employee was injured by broken glass in his vehic,-87.870000000000005,34.820000000000000,-87.8700027,34.8199997,-87.8700027
179,201104270924,0.000000000000000,HUN,T,TORNADO,4 W Oakland,Lauderdale,trained spotter,tornado confirmed on the ground near a church close to the intersection of cr 189 and cr 62.,-87.870000000000005,34.829999999999998,-87.8700027,34.8300018,-87.8700027
180,201104271006,0.000000000000000,OHX,T,TORNADO,13 N Lawrenceburg,Lawrence,nws storm survey,survey team reports an ef1 tornado near summertown near the intersection of graham and moore roads.,-87.340000000000003,35.430000000000000,-87.3399963,35.4300003,-87.3399963
181,201104271017,3.000000000000000,BMX,T,TORNADO,2 W Coaling,Tuscaloosa,nws storm survey,an ef-3 tornado touched down just outside of coaling and moved ne across e tuscaloosa county into far sw jefferson county damaging or destroying,-87.370000000000005,33.159999999999997,-87.3700027,33.1599998,-87.3700027
182,201104271028,0.000000000000000,BMX,T,TORNADO,Cordova,Walker,co-op observer,*** 2 inj *** road signs blown down and a truck blown into the ditch along interstate 22 and exit 70. numerous trees and structures damaged. at,-87.189999999999998,33.759999999999998,-87.1900024,33.7599983,-87.1900024
183,201104271038,0.000000000000000,HUN,T,TORNADO,N Coldwater,Lincoln,emergency mngr,"numerous reports of damage from coldwater to park city. numerous trees reported down, roofs blown off houses, porch blown off a bouse in the col",-86.730000000000004,35.090000000000003,-86.7300034,35.0900002,-86.7300034
184,201104271045,0.000000000000000,OHX,T,TORNADO,9 Sw Murfreesboro,Rutherford,nws storm survey,survey team reports an ef0 tornado near the community of rockvale.,-86.510000000000005,35.759999999999998,-86.5100021,35.7599983,-86.5100021
185,201104271050,0.000000000000000,OHX,T,TORNADO,4 Wsw Murfreesboro,Rutherford,nws storm survey,survey team reports an ef0 tornado in the country park subdivision just west of murfreesboro.,-86.459999999999994,35.829999999999998,-86.4599991,35.8300018,-86.4599991
186,201104271054,2.000000000000000,BMX,T,TORNADO,3 Se Homewood,Jefferson,nws storm survey,an ef-2 tornado touched down near gresham high school in the mountain brook/vestavia hills area and moved ne across se jefferson county across c,-86.760000000000005,33.439999999999998,-86.7600021,33.4399986,-86.7600021
187,201104271114,2.000000000000000,BMX,T,TORNADO,6 Ne Moody,St. Clair,nws storm survey,an ef-2 tornado touched down just se of branchville and moved ne across central st. clair county. the tornado did significant damage to two mult,-86.420000000000002,33.649999999999999,-86.4199982,33.6500015,-86.4199982
188,201104271117,0.000000000000000,HUN,T,TORNADO,Wilburn,Cullman,emergency mngr,trees were blown down on a house and truck. two people were trapped in truck and house.,-87.030000000000001,33.950000000000003,-87.0299988,33.9500008,-87.0299988
189,201104271132,0.000000000000000,LMK,T,TORNADO,Greensburg,Green,nws storm survey,the tornado tracked along and south of highway 68...breaking windows...damaging chimneys...and uprooting trees. in an industrial park northeast,-85.500000000000000,37.259999999999998,-85.5000000,37.2599983,-85.5000000
190,201104271141,0.000000000000000,HUN,T,TORNADO,Guntersville,Marshall,emergency mngr,trained spotters reported possible tornado touchdown along highway 205 and 431 just south of guntersville.,-86.290000000000006,34.359999999999999,-86.2900009,34.3600006,-86.2900009
191,201104271202,0.000000000000000,LMK,T,TORNADO,7 E Hestand,Monroe,nws storm survey,two large barns and several outbuildings were destroyed. hundreds of hardwood trees were snapped and uprooted...with a few trees landing on hous,-85.500000000000000,36.670000000000002,-85.5000000,36.6699982,-85.5000000
192,201104271240,1.000000000000000,FFC,T,TORNADO,1 Nw Trenton,Dade,nws storm survey,nws storm survey determined that an ef1 tornado touched down around 840 am edt. the path length was 7 miles with a width of 50 yards. minor dama,-85.519999999999996,34.880000000000003,-85.5199966,34.8800011,-85.5199966
193,201104271245,0.000000000000000,OHX,T,TORNADO,21 Ssw Jamestown,Fentress,nws storm survey,survey team reports an ef0 tornado about 1 mile north of the putnam-fentress county line near highway 62.,-85.079999999999998,36.149999999999999,-85.0800018,36.1500015,-85.0800018
194,201104271255,0.000000000000000,MRX,T,TORNADO,Lookout Mountain,Hamilton,law enforcement,ef2. path length of 1.5 miles. path width of 500 yards. max wind of 110 mph.,-85.349999999999994,35.009999999999998,-85.3499985,35.0099983,-85.3499985
195,201104271304,0.000000000000000,MRX,T,TORNADO,Lookout Mountain,Hamilton,law enforcement,possible tornado near lookout mountain. damage in lookout mountain...lookout valley and st elmo. several trees and power lines down some homes a,-85.349999999999994,35.009999999999998,-85.3499985,35.0099983,-85.3499985
196,201104271304,0.000000000000000,MRX,T,TORNADO,Red Bank,Hamilton,nws storm survey,ef1 tornado touchdown along ashland terrace road. path length of 2 miles. path width of 250 yards. max winds 90 mph.,-85.290000000000006,35.109999999999999,-85.2900009,35.1100006,-85.2900009
197,201104271308,0.000000000000000,MRX,T,TORNADO,1 W Harrison,Hamilton,nws storm survey,ef1. patgh length of 0.5 miles. path width of 100 yards. max wind of 70 mph. along north hickory valley rd.,-85.159999999999997,35.130000000000003,-85.1600037,35.1300011,-85.1600037
198,201104271345,0.000000000000000,MRX,T,TORNADO,5 Se Birchwood,Meigs,emergency mngr,ema reported possible tornado touchdown on mt zion rd near georgetown...severl homes damaged some potentially destroyed.,-84.930000000000007,35.310000000000002,-84.9300003,35.3100014,-84.9300003
199,201104271345,2.000000000000000,MRX,T,TORNADO,5 Nnw Cleveland,Bradley,emergency mngr,*** 1 inj *** ef2 tornado touchdown on mt zion rd. 3 mobile homes destroyed. 2 mile path length. path width from 200 to 300 yards wide. max wind,-84.900000000000006,35.240000000000002,-84.9000015,35.2400017,-84.9000015
200,201104271348,0.000000000000000,MRX,T,TORNADO,7 Ssw Decatur,Meigs,law enforcement,possible tornado touchdown near brittsville rd and hiwasse bridge. several trees and power lines down reported by dispatch.,-84.840000000000003,35.430000000000000,-84.8399963,35.4300003,-84.8399963
201,201104271353,0.000000000000000,ILN,T,TORNADO,New Carlisle,Clark,nws storm survey,nws storm survey confirms low-end ef0 tornado which touched down south of new carlisle and terminated on the northeast side of the city. damage,-84.030000000000001,39.939999999999998,-84.0299988,39.9399986,-84.0299988
202,201104271415,0.000000000000000,MEG,T,TORNADO,Esperanza,Pontotoc,fire dept/rescue,brief tornado touchdown. no damage,-89.159999999999997,34.350000000000001,-89.1600037,34.3499985,-89.1600037
203,201104271537,0.000000000000000,OHX,T,TORNADO,6 S Lawrenceburg,Lawrence,trained spotter,tornado with debris witnessed by multiple spotters in leoma,-87.340000000000003,35.159999999999997,-87.3399963,35.1599998,-87.3399963
204,201104271629,0.000000000000000,HUN,T,TORNADO,1 N Decatur,Morgan,emergency mngr,touchdown just north of decatur,-86.980000000000004,34.619999999999997,-86.9800034,34.6199989,-86.9800034
205,201104271631,0.000000000000000,HUN,T,TORNADO,Athens,Limestone,emergency mngr,debris near athens high school,-86.969999999999999,34.799999999999997,-86.9700012,34.7999992,-86.9700012
206,201104271730,0.000000000000000,HUN,T,TORNADO,2 E Somerville,Morgan,emergency mngr,near antioch,-86.760000000000005,34.469999999999999,-86.7600021,34.4700012,-86.7600021
207,201104271839,3.000000000000000,MEG,T,TORNADO,5 Ne Water Valley,Lafayette,nws storm survey,*** 2 inj *** a number of homes and mobile homes were damaged along the path. ef-3 tornado with 140 mph winds. path length 13.6 miles. max width,-89.569999999999993,34.210000000000001,-89.5699997,34.2099991,-89.5699997
208,201104271850,0.000000000000000,MEG,T,TORNADO,9 S Oxford,Lafayette,amateur radio,confirmed trailer destroyed. house partially destroyed. many trees and powerlines down.,-89.530000000000001,34.229999999999997,-89.5299988,34.2299995,-89.5299988
209,201104271853,0.000000000000000,MEG,T,TORNADO,Oxford,Lafayette,fire dept/rescue,tornado touchdown with damage. extent unknown. county roads 369 and 469 south of oxford.,-89.530000000000001,34.359999999999999,-89.5299988,34.3600006,-89.5299988
210,201104271900,0.000000000000000,HUN,T,TORNADO,Speake,Lawrence,emergency mngr,tornado reported on the ground.,-87.170000000000002,34.420000000000002,-87.1699982,34.4199982,-87.1699982
211,201104271928,0.000000000000000,JAN,T,TORNADO,5 N Philadelphia,Neshoba,storm chaser,structural damage and numerous trees uprooted. power lines down across highway 21.,-89.109999999999999,32.850000000000001,-89.1100006,32.8499985,-89.1100006
212,201104271930,4.000000000000000,JAN,T,TORNADO,1 N Philadelphia,Neshoba,nws storm survey,"*** 3 fatal, 8 inj *** tornado rated ef4 with maximum winds of 180 mph...path length of 29 miles and path width of one half mile..moving from 1",-89.109999999999999,32.789999999999999,-89.1100006,32.7900009,-89.1100006
213,201104271936,0.000000000000000,MRX,T,TORNADO,1 W Cleveland,Bradley,nws employee,ef1. max winds 90 mph. 2 mile path length. max width of 150 yards.,-84.890000000000001,35.180000000000000,-84.8899994,35.1800003,-84.8899994
214,201104271943,0.000000000000000,JAN,T,TORNADO,4 E Nanih Waiya,Kemper,broadcast media,extensive damage...mobile homes damaged or destroyed...large numbers of trees down preventing emergency workers from getting into area. unknown,-88.890000000000001,32.920000000000002,-88.8899994,32.9199982,-88.8899994
215,201104271943,0.000000000000000,JAN,T,TORNADO,4 Ssw Nanih Waiya,Neshoba,emergency mngr,chicken houses blown away. tornado reported on ground by emergency management spotters.,-88.969999999999999,32.869999999999997,-88.9700012,32.8699989,-88.9700012
216,201104271944,0.000000000000000,JAN,T,TORNADO,2 Sse Nanih Waiya,Neshoba,emergency mngr,tornado still on the ground,-88.939999999999998,32.899999999999999,-88.9400024,32.9000015,-88.9400024
217,201104271945,0.000000000000000,JAN,T,TORNADO,4 E Nanih Waiya,Kemper,broadcast media,*** 3 fatal *** update...extensive damage...mobile homes damaged or destroyed...large numbers of trees down preventing emergency workers from ge,-88.890000000000001,32.920000000000002,-88.8899994,32.9199982,-88.8899994
218,201104271945,0.000000000000000,HUN,T,TORNADO,Good Hope,Cullman,emergency mngr,tornado on the ground.,-86.859999999999999,34.109999999999999,-86.8600006,34.1100006,-86.8600006
219,201104271946,0.000000000000000,HUN,T,TORNADO,5 Wsw Good Hope,Cullman,emergency mngr,tornado on the ground near the intersection of cr 222 and cr 310 near good hope.,-86.959999999999994,34.090000000000003,-86.9599991,34.0900002,-86.9599991
220,201104271948,0.000000000000000,JAN,T,TORNADO,5 Se Vernon,Winston,public,home damaged in the nanih waiya community,-88.870000000000005,32.930000000000000,-88.8700027,32.9300003,-88.8700027
221,201104271950,0.000000000000000,MEG,T,TORNADO,3 Ese Hinkle,Alcorn,nws storm survey,minor damage to a couple houses with trees down. ef-0 tornado with estimated winds of 65 mph. path length of 2.32 miles. max path width of 50 ya,-88.510000000000005,34.770000000000003,-88.5100021,34.7700005,-88.5100021
222,201104271957,0.000000000000000,MEG,T,TORNADO,2 E Rienzi,Alcorn,emergency mngr,tornado on the ground at hwy 356 east of rienzi. debris in the air west of leedy,-88.500000000000000,34.770000000000003,-88.5000000,34.7700005,-88.5000000
223,201104271957,0.000000000000000,MEG,T,TORNADO,4 N Trace State Park,Pontotoc,nws storm survey,damage to a couple homes with trees down. ef-0 tornado with estimated winds of 70 mph. path length of 1.02 miles. max path width of 75 yards. en,-88.879999999999995,34.320000000000000,-88.8799973,34.3199997,-88.8799973
224,201104272004,3.000000000000000,MEG,T,TORNADO,2 Nnw Woodland,Chickasaw,nws storm survey,"*** 7 fatal, 7 inj *** 15 to 20 homes damaged or destroyed. hundreds of trees snapped or debarked. power lines down. continued 31.3 miles to hig",-89.069999999999993,33.810000000000002,-89.0699997,33.8100014,-89.0699997
225,201104272005,5.000000000000000,BMX,T,TORNADO,5 Nne Detroit,Marion,nws storm survey,*** 25 fatal *** an ef-5 tornado touched down sw of hamilton and moved ne across marion county and continued into franklin county...see lsr/s fr,-88.129999999999995,34.090000000000003,-88.1299973,34.0900002,-88.1299973
226,201104272006,0.000000000000000,JAN,T,TORNADO,1 S Vaiden,Carroll,emergency mngr,10 homes damaged...trees and powerlines down...no injuries,-89.750000000000000,33.320000000000000,-89.7500000,33.3199997,-89.7500000
227,201104272006,0.000000000000000,JAN,T,TORNADO,5 Nnw Crystal Springs,Hinds,trained spotter,spotters report tornado on the ground,-90.390000000000001,32.049999999999997,-90.3899994,32.0499992,-90.3899994
228,201104272006,0.000000000000000,JAN,T,TORNADO,5 Sw Macon,Noxubee,trained spotter,spotter reports tornado on the ground,-88.629999999999995,33.060000000000002,-88.6299973,33.0600014,-88.6299973
229,201104272007,0.000000000000000,HUN,T,TORNADO,Baileyton,Cullman,emergency mngr,tornado on the ground,-86.609999999999999,34.259999999999998,-86.6100006,34.2599983,-86.6100006
230,201104272009,0.000000000000000,JAN,T,TORNADO,2 Sw Macon,Noxubee,emergency mngr,trees down,-88.590000000000003,33.090000000000003,-88.5899963,33.0900002,-88.5899963
231,201104272010,0.000000000000000,MEG,T,TORNADO,3 Se Houston,Chickasaw,emergency mngr,"*** 3 fatal, 7 inj *** emergency manager reports 3 fatalities and 7 injuries. fatality and injury numbers are preliminary.",-88.959999999999994,33.869999999999997,-88.9599991,33.8699989,-88.9599991
232,201104272011,2.000000000000000,JAN,T,TORNADO,5 Nw Crystal Springs,Copiah,nws storm survey,*** 2 inj *** ef2 tornado occurred along the copiah/hind line just nw of crystal springs to just s of terry. damage began just west of galliton,-90.420000000000002,32.039999999999999,-90.4199982,32.0400009,-90.4199982
